Customer Name,Customer Type,Customer Group,Territory,Disabled
UCI Customer 16307,Individual,Retail Customers,All Territories,0
UCI Customer 14206,Individual,Retail Customers,All Territories,0
UCI Customer 13526,Individual,Retail Customers,All Territories,0
UCI Customer 18102,Individual,Retail Customers,All Territories,0
UCI Customer 14646,Individual,Retail Customers,All Territories,0
UCI Customer 14156,Individual,Retail Customers,All Territories,0
UCI Customer 12346,Individual,Retail Customers,All Territories,0
UCI Customer 16754,Individual,Retail Customers,All Territories,0
UCI Customer 13093,Individual,Retail Customers,All Territories,0
UCI Customer 12742,Individual,Retail Customers,All Territories,0
UCI Customer 14213,Individual,Retail Customers,All Territories,0
UCI Customer 16501,Individual,Retail Customers,All Territories,0
UCI Customer 18251,Individual,Retail Customers,All Territories,0
UCI Customer 13802,Individual,Retail Customers,All Territories,0
UCI Customer 12939,Individual,Retail Customers,All Territories,0
UCI Customer 15098,Individual,Retail Customers,All Territories,0
UCI Customer 12497,Individual,Retail Customers,All Territories,0
UCI Customer 12378,Individual,Retail Customers,All Territories,0
UCI Customer 16446,Individual,Retail Customers,All Territories,0
UCI Customer 12357,Individual,Retail Customers,All Territories,0
UCI Customer 12454,Individual,Retail Customers,All Territories,0
