Item Code,UOM,Price List,Rate,Selling,Currency
20725,Nos,Standard Selling,2.05,1,GBP
21931,Nos,Standard Selling,2.53,1,GBP
22382,Nos,Standard Selling,1.9,1,GBP
22697,Nos,Standard Selling,3.78,1,GBP
22423,Nos,Standard Selling,14.19,1,GBP
85123A,Nos,Standard Selling,3.14,1,GBP
85099B,Nos,Standard Selling,2.35,1,GBP
47566,Nos,Standard Selling,5.72,1,GBP
23843,Nos,Standard Selling,2.08,1,GBP
22086,Nos,Standard Selling,3.37,1,GBP
23166,Nos,Standard Selling,1.47,1,GBP
79321,Nos,Standard Selling,6.29,1,GBP
23012,Nos,Standard Selling,4.63,1,GBP
23332,Nos,Standard Selling,1.76,1,GBP
23426,Nos,Standard Selling,3.33,1,GBP
23395,Nos,Standard Selling,4.92,1,GBP
23144,Nos,Standard Selling,0.94,1,GBP
23110,Nos,Standard Selling,6.66,1,GBP
23255,Nos,Standard Selling,4.35,1,GBP
20981,Nos,Standard Selling,0.96,1,GBP
21556,Nos,Standard Selling,3.25,1,GBP
20982,Nos,Standard Selling,0.96,1,GBP
22497,Nos,Standard Selling,5.25,1,GBP
21068,Nos,Standard Selling,1.58,1,GBP
23331,Nos,Standard Selling,0.78,1,GBP
23452,Nos,Standard Selling,2.07,1,GBP
23454,Nos,Standard Selling,4.52,1,GBP
23428,Nos,Standard Selling,9.92,1,GBP
23026,Nos,Standard Selling,2.33,1,GBP
23418,Nos,Standard Selling,2.56,1,GBP
23566,Nos,Standard Selling,1.77,1,GBP
22814,Nos,Standard Selling,0.5,1,GBP
21130,Nos,Standard Selling,3.99,1,GBP
22256,Nos,Standard Selling,1.57,1,GBP
84658,Nos,Standard Selling,6.97,1,GBP
21883,Nos,Standard Selling,0.74,1,GBP
