Item Code,Item Group,Default Unit of Measure,Item Name,Disabled,Maintain Stock,Allow Sales,Allow Purchase,Description
20725,Retail Merchandise,Nos,LUNCH BAG RED RETROSPOT,0,1,1,1,LUNCH BAG RED RETROSPOT
21931,Retail Merchandise,Nos,JUMBO STORAGE BAG SUKI,0,1,1,1,JUMBO STORAGE BAG SUKI
22382,Retail Merchandise,Nos,LUNCH BAG SPACEBOY DESIGN,0,1,1,1,LUNCH BAG SPACEBOY DESIGN
22697,Retail Merchandise,Nos,GREEN REGENCY TEACUP AND SAUCER,0,1,1,1,GREEN REGENCY TEACUP AND SAUCER
22423,Retail Merchandise,Nos,REGENCY CAKESTAND 3 TIER,0,1,1,1,REGENCY CAKESTAND 3 TIER
85123A,Retail Merchandise,Nos,WHITE HANGING HEART T-LIGHT HOLDER,0,1,1,1,WHITE HANGING HEART T-LIGHT HOLDER
85099B,Retail Merchandise,Nos,JUMBO BAG RED RETROSPOT,0,1,1,1,JUMBO BAG RED RETROSPOT
47566,Retail Merchandise,Nos,PARTY BUNTING,0,1,1,1,PARTY BUNTING
23843,Retail Merchandise,Nos,"PAPER CRAFT , LITTLE BIRDIE",0,1,1,1,"PAPER CRAFT , LITTLE BIRDIE"
22086,Retail Merchandise,Nos,PAPER CHAIN KIT 50'S CHRISTMAS,0,1,1,1,PAPER CHAIN KIT 50'S CHRISTMAS
23166,Retail Merchandise,Nos,MEDIUM CERAMIC TOP STORAGE JAR,0,1,1,1,MEDIUM CERAMIC TOP STORAGE JAR
79321,Retail Merchandise,Nos,CHILLI LIGHTS,0,1,1,1,CHILLI LIGHTS
23012,Retail Merchandise,Nos,GLASS APOTHECARY BOTTLE PERFUME,0,1,1,1,GLASS APOTHECARY BOTTLE PERFUME
23332,Retail Merchandise,Nos,IVORY WICKER HEART LARGE,0,1,1,1,IVORY WICKER HEART LARGE
23426,Retail Merchandise,Nos,METAL SIGN DROP YOUR PANTS,0,1,1,1,METAL SIGN DROP YOUR PANTS
23395,Retail Merchandise,Nos,BELLE JARDINIERE CUSHION COVER,0,1,1,1,BELLE JARDINIERE CUSHION COVER
23144,Retail Merchandise,Nos,ZINC T-LIGHT HOLDER STARS SMALL,0,1,1,1,ZINC T-LIGHT HOLDER STARS SMALL
23110,Retail Merchandise,Nos,PARISIENNE KEY CABINET,0,1,1,1,PARISIENNE KEY CABINET
23255,Retail Merchandise,Nos,CHILDRENS CUTLERY CIRCUS PARADE,0,1,1,1,CHILDRENS CUTLERY CIRCUS PARADE
20981,Retail Merchandise,Nos,12 PENCILS TALL TUBE WOODLAND,0,1,1,1,12 PENCILS TALL TUBE WOODLAND
21556,Retail Merchandise,Nos,CERAMIC STRAWBERRY MONEY BOX,0,1,1,1,CERAMIC STRAWBERRY MONEY BOX
20982,Retail Merchandise,Nos,12 PENCILS TALL TUBE SKULLS,0,1,1,1,12 PENCILS TALL TUBE SKULLS
22497,Retail Merchandise,Nos,SET OF 2 TINS VINTAGE BATHROOM,0,1,1,1,SET OF 2 TINS VINTAGE BATHROOM
21068,Retail Merchandise,Nos,VINTAGE BILLBOARD LOVE/HATE MUG,0,1,1,1,VINTAGE BILLBOARD LOVE/HATE MUG
23331,Retail Merchandise,Nos,DECORATIVE WICKER HEART SMALL,0,1,1,1,DECORATIVE WICKER HEART SMALL
23452,Retail Merchandise,Nos,HEART MINI PORTRAIT FRAME,0,1,1,1,HEART MINI PORTRAIT FRAME
23454,Retail Merchandise,Nos,THREE MINI HANGING FRAMES,0,1,1,1,THREE MINI HANGING FRAMES
23428,Retail Merchandise,Nos,IVORY RETRO KITCHEN WALL CLOCK,0,1,1,1,IVORY RETRO KITCHEN WALL CLOCK
23444,Retail Merchandise,Nos,Next Day Carriage,0,1,1,1,Next Day Carriage
23026,Retail Merchandise,Nos,DRAWER KNOB VINTAGE GLASS STAR,0,1,1,1,DRAWER KNOB VINTAGE GLASS STAR
23418,Retail Merchandise,Nos,LAVENDER TOILETTE BOTTLE,0,1,1,1,LAVENDER TOILETTE BOTTLE
23566,Retail Merchandise,Nos,EGG CUP MILKMAID HEIDI,0,1,1,1,EGG CUP MILKMAID HEIDI
21130,Retail Merchandise,Nos,COLOURFUL STANDING GNOME,0,1,1,1,COLOURFUL STANDING GNOME
22256,Retail Merchandise,Nos,FELT FARM ANIMAL CHICKEN,0,1,1,1,FELT FARM ANIMAL CHICKEN
84658,Retail Merchandise,Nos,WHITE STITCHED CUSHION COVER,0,1,1,1,WHITE STITCHED CUSHION COVER
21883,Retail Merchandise,Nos,STARS GIFT TAPE,0,1,1,1,STARS GIFT TAPE
