Table,Column,TotalRows,MissingCount,MissingPercent
patients,PatientID,10000,0,0.0
patients,BirthDate,10000,0,0.0
patients,Gender,10000,0,0.0
patients,Race,10000,0,0.0
patients,Ethnicity,10000,0,0.0
patients,ZipCode,10000,0,0.0
patients,State,10000,0,0.0
patients,Region,10000,100,1.0
patients,RegistrationDate,10000,0,0.0
providers,ProviderID,120,0,0.0
providers,DepartmentID,120,0,0.0
providers,ProviderType,120,0,0.0
providers,Specialty,120,0,0.0
providers,HireDate,120,0,0.0
providers,ActiveFlag,120,0,0.0
departments,DepartmentID,25,0,0.0
departments,DepartmentName,25,0,0.0
departments,FacilityName,25,0,0.0
departments,DepartmentType,25,0,0.0
departments,City,25,0,0.0
departments,State,25,0,0.0
payers,PayerID,6,0,0.0
payers,PayerName,6,0,0.0
payers,PayerType,6,0,0.0
diagnoses,DiagnosisID,50,0,0.0
diagnoses,DiagnosisCode,50,0,0.0
diagnoses,DiagnosisName,50,0,0.0
diagnoses,DiagnosisCategory,50,0,0.0
diagnoses,ChronicConditionFlag,50,0,0.0
procedures,ProcedureID,40,0,0.0
procedures,ProcedureCode,40,0,0.0
procedures,ProcedureName,40,0,0.0
procedures,ProcedureCategory,40,0,0.0
procedures,StandardCost,40,0,0.0
encounters,EncounterID,90000,0,0.0
encounters,PatientID,90000,0,0.0
encounters,ProviderID,90000,1401,1.56
encounters,DepartmentID,90000,0,0.0
encounters,PayerID,90000,0,0.0
encounters,EncounterDate,90000,0,0.0
encounters,EncounterType,90000,0,0.0
encounters,ArrivalDateTime,90000,0,0.0
encounters,TriageDateTime,90000,58229,64.7
encounters,ProviderStartDateTime,90000,501,0.56
encounters,EncounterEndDateTime,90000,0,0.0
encounters,EncounterStatus,90000,0,0.0
encounters,EncounterCost,90000,0,0.0
encounter_diagnoses,EncounterDiagnosisID,153595,0,0.0
encounter_diagnoses,EncounterID,153595,0,0.0
encounter_diagnoses,DiagnosisID,153595,0,0.0
encounter_diagnoses,DiagnosisType,153595,0,0.0
encounter_diagnoses,PresentOnAdmissionFlag,153595,123378,80.33
encounter_procedures,EncounterProcedureID,70419,0,0.0
encounter_procedures,EncounterID,70419,0,0.0
encounter_procedures,ProcedureID,70419,0,0.0
encounter_procedures,ProcedureDate,70419,0,0.0
encounter_procedures,ProcedureCost,70419,0,0.0
admissions,AdmissionID,17740,0,0.0
admissions,EncounterID,17740,0,0.0
admissions,PatientID,17740,0,0.0
admissions,DepartmentID,17740,0,0.0
admissions,AdmissionDateTime,17740,0,0.0
admissions,DischargeDateTime,17740,124,0.7
admissions,AdmissionType,17740,0,0.0
admissions,DischargeDisposition,17740,0,0.0
admissions,FollowUpRequiredFlag,17740,0,0.0
admissions,FollowUpCompletedFlag,17740,0,0.0
admissions,FollowUpDate,17740,8336,46.99
appointments,AppointmentID,50000,0,0.0
appointments,PatientID,50000,0,0.0
appointments,ProviderID,50000,400,0.8
appointments,DepartmentID,50000,0,0.0
appointments,ScheduledDate,50000,0,0.0
appointments,AppointmentDateTime,50000,0,0.0
appointments,AppointmentStatus,50000,0,0.0
appointments,AppointmentType,50000,0,0.0
appointments,CancellationReason,50000,45003,90.01
lab_results,LabResultID,100000,0,0.0
lab_results,EncounterID,100000,0,0.0
lab_results,PatientID,100000,0,0.0
lab_results,LabTest,100000,0,0.0
lab_results,ResultValue,100000,0,0.0
lab_results,ResultUnit,100000,700,0.7
lab_results,ReferenceLow,100000,0,0.0
lab_results,ReferenceHigh,100000,0,0.0
lab_results,ResultFlag,100000,0,0.0
lab_results,ResultDateTime,100000,0,0.0
