Table,Column,PandasDataType
patients,PatientID,str
patients,BirthDate,str
patients,Gender,str
patients,Race,str
patients,Ethnicity,str
patients,ZipCode,int64
patients,State,str
patients,Region,str
patients,RegistrationDate,str
providers,ProviderID,str
providers,DepartmentID,str
providers,ProviderType,str
providers,Specialty,str
providers,HireDate,str
providers,ActiveFlag,int64
departments,DepartmentID,str
departments,DepartmentName,str
departments,FacilityName,str
departments,DepartmentType,str
departments,City,str
departments,State,str
payers,PayerID,str
payers,PayerName,str
payers,PayerType,str
diagnoses,DiagnosisID,str
diagnoses,DiagnosisCode,str
diagnoses,DiagnosisName,str
diagnoses,DiagnosisCategory,str
diagnoses,ChronicConditionFlag,int64
procedures,ProcedureID,str
procedures,ProcedureCode,str
procedures,ProcedureName,str
procedures,ProcedureCategory,str
procedures,StandardCost,float64
encounters,EncounterID,str
encounters,PatientID,str
encounters,ProviderID,str
encounters,DepartmentID,str
encounters,PayerID,str
encounters,EncounterDate,str
encounters,EncounterType,str
encounters,ArrivalDateTime,str
encounters,TriageDateTime,str
encounters,ProviderStartDateTime,str
encounters,EncounterEndDateTime,str
encounters,EncounterStatus,str
encounters,EncounterCost,float64
encounter_diagnoses,EncounterDiagnosisID,str
encounter_diagnoses,EncounterID,str
encounter_diagnoses,DiagnosisID,str
encounter_diagnoses,DiagnosisType,str
encounter_diagnoses,PresentOnAdmissionFlag,float64
encounter_procedures,EncounterProcedureID,str
encounter_procedures,EncounterID,str
encounter_procedures,ProcedureID,str
encounter_procedures,ProcedureDate,str
encounter_procedures,ProcedureCost,float64
admissions,AdmissionID,str
admissions,EncounterID,str
admissions,PatientID,str
admissions,DepartmentID,str
admissions,AdmissionDateTime,str
admissions,DischargeDateTime,str
admissions,AdmissionType,str
admissions,DischargeDisposition,str
admissions,FollowUpRequiredFlag,int64
admissions,FollowUpCompletedFlag,int64
admissions,FollowUpDate,str
appointments,AppointmentID,str
appointments,PatientID,str
appointments,ProviderID,str
appointments,DepartmentID,str
appointments,ScheduledDate,str
appointments,AppointmentDateTime,str
appointments,AppointmentStatus,str
appointments,AppointmentType,str
appointments,CancellationReason,str
lab_results,LabResultID,str
lab_results,EncounterID,str
lab_results,PatientID,str
lab_results,LabTest,str
lab_results,ResultValue,float64
lab_results,ResultUnit,str
lab_results,ReferenceLow,float64
lab_results,ReferenceHigh,float64
lab_results,ResultFlag,str
lab_results,ResultDateTime,str
