ChildTable,ForeignKey,ParentTable,ParentKey,CheckedRows,InvalidReferenceCount,InvalidReferencePercent
providers,DepartmentID,departments,DepartmentID,120,0,0.0
encounters,PatientID,patients,PatientID,90000,176,0.196
encounters,ProviderID,providers,ProviderID,88599,0,0.0
encounters,DepartmentID,departments,DepartmentID,90000,270,0.3
encounters,PayerID,payers,PayerID,90000,0,0.0
encounter_diagnoses,EncounterID,encounters,EncounterID,153595,0,0.0
encounter_diagnoses,DiagnosisID,diagnoses,DiagnosisID,153595,459,0.299
encounter_procedures,EncounterID,encounters,EncounterID,70419,0,0.0
encounter_procedures,ProcedureID,procedures,ProcedureID,70419,140,0.199
admissions,EncounterID,encounters,EncounterID,17740,0,0.0
admissions,PatientID,patients,PatientID,17740,35,0.197
admissions,DepartmentID,departments,DepartmentID,17740,0,0.0
appointments,PatientID,patients,PatientID,50000,107,0.214
appointments,ProviderID,providers,ProviderID,49600,0,0.0
appointments,DepartmentID,departments,DepartmentID,50000,0,0.0
lab_results,EncounterID,encounters,EncounterID,100000,0,0.0
lab_results,PatientID,patients,PatientID,100000,218,0.218
